Date,Ticker,Close,Daily Return,RSI,MA50,MA200,RollingVol20,MACD,MACD_Signal,MACD_Hist,Panic,Momentum,Volatility,RSI_Overbought,RSI_Oversold,MarketRegime,PrimarySignal,PatternBase,BaseScore,PatternKey,ScoreAdjustment,FinalScore
2026-06-17,GS,1099.1400146484375,0.007765841511963,63.62218598211206,970.0511987304689,874.8133016967773,0.0249063094723302,33.237513995413906,30.66532484976537,2.57218914564854,NO,NO,NORMAL,NO,NO,BULL,NONE,NONE|BULL|NORMAL,8,,0.0,8.0
2026-06-17,HD,327.4800109863281,-0.028508663727682,55.26627692143647,322.9610009765625,359.0549496459961,0.0166576859647596,2.891787794088316,0.1400153108674809,2.751772483220835,PANIC,NO,VOLATILE,NO,NO,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
2026-06-17,IRDM,45.04999923706055,0.0368238997934795,39.68095477762804,43.07019989013672,25.96964997291565,0.0493819434354258,0.7812960203243051,1.702470430581335,-0.9211744102570298,NO,MOMENTUM,VOLATILE,NO,NO,HIGH_VOLATILITY,MOMENTUM,MOMENTUM|HIGH_VOLATILITY|VOLATILE,55,,0.0,55.0
2026-06-17,JPM,333.4599914550781,0.0070060297880449,83.58015983643605,308.51960021972656,306.97155075073243,0.0150998186952702,5.91491694223987,2.882370342218373,3.032546600021497,NO,NO,NORMAL,OVERBOUGHT,NO,BULL,OVERBOUGHT,OVERBOUGHT|BULL|NORMAL,18,,0.0,18.0
2026-06-17,LMT,532.3200073242188,-0.0067730288275659,47.71430495105546,539.7798010253906,538.1397015380859,0.0162728863358832,-0.6006127782198973,-3.3395910094596193,2.738978231239722,NO,NO,NORMAL,NO,NO,SIDEWAYS,NONE,NONE|SIDEWAYS|NORMAL,5,,0.0,5.0
2026-06-17,MA,492.989990234375,-0.0166357420486923,49.58514712085039,499.2404010009766,535.3271482849121,0.014391522077098,-1.5263302578550224,-2.9311069852357905,1.404776727380768,PANIC,NO,VOLATILE,NO,NO,BEAR,PANIC,PANIC|BEAR|VOLATILE,60,,0.0,60.0
2026-06-17,MCD,283.82000732421875,-0.0142742522700317,59.24171758555289,287.6635998535156,305.4760998535156,0.0104892188965332,-0.2646439171684847,-1.89657068362198,1.6319267664534955,PANIC,NO,NORMAL,NO,NO,BEAR,PANIC,PANIC|BEAR|NORMAL,60,,0.0,60.0
2026-06-17,MSFT,378.9100036621094,-0.037884324248678,32.24520356735627,412.87439880371096,451.9780494689942,0.0242846423973444,-7.29514207476177,-2.2875830257308967,-5.007559049030874,PANIC,NO,VOLATILE,NO,NO,BEAR,PANIC,PANIC|BEAR|VOLATILE,60,,0.0,60.0
2026-06-17,NOC,550.1500244140625,-0.0019230375289626,45.67155136681614,578.5376013183594,616.2779510498046,0.0164118347274361,-7.567758001793322,-11.092495647505622,3.5247376457122996,NO,NO,NORMAL,NO,NO,BEAR,NONE,NONE|BEAR|NORMAL,10,,0.0,10.0
2026-06-17,NVDA,204.6499938964844,-0.013307023368657,43.5999959309896,208.7392007446289,189.70270050048828,0.0277596499982827,-1.3012947017970475,0.125903448193319,-1.4271981499903663,PANIC,NO,NORMAL,NO,NO,SIDEWAYS,PANIC,PANIC|SIDEWAYS|NORMAL,55,,0.0,55.0
