Date,Ticker,Close,DropPct,PrimarySignal,MarketRegime,Volatility,CrossAssetPattern,Bounce5D,Recovered5D,Bounce10D,Recovered10D,BounceStrength
2026-06-01,IREDA,126.2699966430664,-5.23827644047549,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-4.838831981779842,False,-1.148330551034198,False,NO_BOUNCE
2026-06-01,TSLA,415.8800048828125,-4.56871503974763,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,-1.666344280661904,False,-1.1373499400772964,False,NO_BOUNCE
2026-06-01,NOC,539.219970703125,-4.3393454247941,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,0.2948753647598414,True,1.021848237267646,True,WEAK_BOUNCE
2026-06-01,AMZN,261.260009765625,-3.4658603218733797,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,-6.139480955891904,False,-5.833271424446383,False,NO_BOUNCE
2026-06-01,GDX,86.68000030517578,-3.14001299102879,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-9.240888449503364,False,-1.626677038699989,False,NO_BOUNCE
2026-06-01,BTC-USD,71319.7734375,-3.07138306682805,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-14.65562616258136,False,-10.878776496393716,False,NO_BOUNCE
2026-05-29,NMDC,87.98999786376953,-4.64889572201621,PANIC,BULL,VOLATILE,PANIC|BULL|VOLATILE|BULL|VIX_ELEVATED,5.580183863296924,True,3.341291638577043,True,BOUNCE
2026-05-29,COST,956.3200073242188,-3.90675285429199,PANIC,SIDEWAYS,VOLATILE,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_ELEVATED,1.626023472673932,True,2.7218889139996825,True,BOUNCE
2026-05-29,COCHINSHIP,1467.4000244140625,-3.70759230230501,PANIC,BEAR,VOLATILE,PANIC|BEAR|VOLATILE|BULL|VIX_ELEVATED,-1.92858445940297,False,-2.937166067115711,False,NO_BOUNCE
2026-05-29,RKLB,143.47999572753906,-3.0737033636956,PANIC,HIGH_VOLATILITY,VOLATILE,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_ELEVATED,-23.27850215434158,False,-28.638136019963618,False,NO_BOUNCE
