PrimarySignal,Trades,WinRate5D,AvgReturn5D,WinRate10D,AvgReturn10D,Period,TrainEndYear,TestYear,Status
NONE,68502,53.84,0.287,54.67,0.576,TRAIN,2022,2023,WEAK
MOMENTUM,39755,51.87,0.373,54.07,0.816,TRAIN,2022,2023,WEAK
PANIC,37680,53.21,0.44,53.96,0.779,TRAIN,2022,2023,WEAK
OVERSOLD,4089,53.53,0.435,53.83,0.666,TRAIN,2022,2023,WEAK
OVERSOLD,335,58.21,0.699,57.01,0.827,TEST,2023,2024,VALID
OVERBOUGHT,873,50.74,0.29,56.59,0.973,TEST,2023,2024,VALID
NONE,6063,55.22,0.567,55.9,1.117,TEST,2023,2024,VALID
PANIC,3289,53.33,0.814,54.36,1.759,TEST,2023,2024,WEAK
MOMENTUM,3642,55.6,0.954,54.31,1.546,TEST,2023,2024,WEAK
OVERBOUGHT,10080,54.44,0.369,58.17,0.816,TRAIN,2023,2024,VALID
NONE,74799,53.95,0.32,54.92,0.642,TRAIN,2023,2024,WEAK
MOMENTUM,43085,52.06,0.421,54.33,0.911,TRAIN,2023,2024,WEAK
PANIC,40660,53.34,0.471,54.16,0.845,TRAIN,2023,2024,WEAK
OVERSOLD,4463,54.22,0.478,54.04,0.72,TRAIN,2023,2024,WEAK
OVERSOLD,353,60.62,1.049,57.79,1.235,TEST,2024,2025,VALID
OVERBOUGHT,746,53.08,0.211,56.17,0.867,TEST,2024,2025,VALID
PANIC,3291,52.9,0.706,56.03,1.331,TEST,2024,2025,VALID
NONE,6224,55.27,0.383,55.13,0.753,TEST,2024,2025,VALID
MOMENTUM,3593,52.38,0.207,53.63,0.585,TEST,2024,2025,WEAK
OVERBOUGHT,10953,54.15,0.363,58.05,0.828,TRAIN,2024,2025,VALID
NONE,80862,54.05,0.338,54.99,0.678,TRAIN,2024,2025,WEAK
MOMENTUM,46727,52.34,0.463,54.33,0.96,TRAIN,2024,2025,WEAK
OVERSOLD,4798,54.5,0.493,54.25,0.728,TRAIN,2024,2025,WEAK
PANIC,43949,53.34,0.496,54.18,0.913,TRAIN,2024,2025,WEAK
OVERBOUGHT,261,57.47,0.523,60.54,1.285,TEST,2025,2026,VALID
OVERSOLD,248,43.95,-0.724,50.81,-0.55,TEST,2025,2026,WEAK
MOMENTUM,1724,50.99,0.529,50.41,0.943,TEST,2025,2026,WEAK
PANIC,1701,48.62,0.251,49.27,0.564,TEST,2025,2026,WEAK
NONE,2140,45.37,-0.176,44.67,-0.343,TEST,2025,2026,WEAK
OVERBOUGHT,11699,54.08,0.353,57.93,0.831,TRAIN,2025,2026,VALID
NONE,87086,54.13,0.341,55.0,0.683,TRAIN,2025,2026,VALID
OVERSOLD,5151,54.92,0.531,54.49,0.763,TRAIN,2025,2026,WEAK
PANIC,47240,53.31,0.511,54.31,0.943,TRAIN,2025,2026,WEAK
MOMENTUM,50320,52.34,0.445,54.28,0.933,TRAIN,2025,2026,WEAK
