Date,Ticker,Close,Daily Return,RSI,MA50,MA200,RollingVol20,MACD,MACD_Signal,MACD_Hist,Panic,Momentum,Volatility,RSI_Overbought,RSI_Oversold,MarketRegime,PrimarySignal,PatternBase,BaseScore,PatternKey,ScoreAdjustment,FinalScore
2026-06-18,IRDM,44.56999969482422,-0.010654817988131171,38.00332443702408,43.26919990539551,26.068599967956544,0.048701351838586135,0.5680123993951867,1.4755788243441055,-0.9075664249489188,PANIC,,NORMAL,,,HIGH_VOLATILITY,PANIC,PANIC|HIGH_VOLATILITY|NORMAL,65,,0.0,65.0
2026-06-18,JPM,325.2200012207031,-0.02471058131567505,71.4664465962664,308.8646002197266,307.0991506958008,0.016140539185135448,6.11521971006772,3.528940215788243,2.586279494279477,PANIC,,VOLATILE,,,BULL,PANIC,PANIC|BULL|VOLATILE,58,,0.0,58.0
2026-06-18,LMT,510.9500122070313,-0.04014501582348318,41.98058601401833,537.4288012695313,538.4319515991211,0.018601604048824244,-2.139271221791091,-3.099527051925914,0.9602558301348227,PANIC,,VOLATILE,,,BEAR,PANIC,PANIC|BEAR|VOLATILE,60,,0.0,60.0
2026-06-18,MA,489.7900085449219,-0.006490966861075198,47.78470576010709,498.89380126953125,534.8167483520508,0.01444069518830446,-1.551732290687994,-2.6552320463262316,1.1034997556382375,,,NORMAL,,,BEAR,NONE,NONE|BEAR|NORMAL,10,,0.0,10.0
2026-06-18,MCD,278.6099853515625,-0.018356781897706842,49.1720084555007,287.09559936523436,305.2903497314453,0.011308203367521183,-0.5746689360459527,-1.6321903341067747,1.057521398060822,PANIC,,VOLATILE,,,BEAR,PANIC,PANIC|BEAR|VOLATILE,60,,0.0,60.0
2026-06-18,MSFT,379.3999938964844,0.0012931572923366996,18.554684695448643,412.9757989501953,451.3494494628906,0.02412732390023157,-8.571468829988078,-3.544360186582333,-5.027108643405745,,,NORMAL,,OVERSOLD,BEAR,OVERSOLD,OVERSOLD|BEAR|NORMAL,30,,0.0,30.0
2026-06-18,NOC,521.5,-0.05207674841889942,33.75693778824697,575.2182019042968,615.9388510131836,0.020046834277301008,-9.12030026409468,-10.698056570823434,1.5777563067287534,PANIC,,VOLATILE,,,BEAR,PANIC,PANIC|BEAR|VOLATILE,60,,0.0,60.0
2026-06-18,NVDA,210.69000244140625,0.029513846689763312,49.71128134067431,209.31140075683595,189.90225051879884,0.028509094484782786,-1.067393278656823,-0.11275589717670932,-0.9546373814801137,,MOMENTUM,VOLATILE,,,BULL,MOMENTUM,MOMENTUM|BULL|VOLATILE,48,,0.0,48.0
2026-06-18,QQQ,740.6199951171875,0.025065376405563056,50.67053653907687,693.1839990234375,628.6319989013672,0.01885934593916906,9.523362012157008,11.110794682788699,-1.5874326706316904,,MOMENTUM,VOLATILE,,,BULL,MOMENTUM,MOMENTUM|BULL|VOLATILE,48,,0.0,48.0
2026-06-18,RKLB,107.23999786376952,-0.006853171607320241,31.049991203297196,103.90579956054688,73.79152502059937,0.06617314135966752,-1.097352836517203,1.9320200748150644,-3.0293729113322674,,,NORMAL,,,HIGH_VOLATILITY,NONE,NONE|HIGH_VOLATILITY|NORMAL,15,,0.0,15.0
2026-06-18,RTX,185.6000061035156,-0.036244655006611004,56.131298660225426,181.4972003173828,182.44139999389648,0.0204984476407124,1.9626786250023542,0.5220029559973305,1.4406756690050238,PANIC,,VOLATILE,,,SIDEWAYS,PANIC,PANIC|SIDEWAYS|VOLATILE,55,,0.0,55.0
2026-06-18,SLV,59.5099983215332,-0.01814885790696541,30.52120954785596,67.98180015563965,61.75435005187988,0.030199875617212053,-2.3856240586190083,-2.1286515515607003,-0.256972507058308,PANIC,,VOLATILE,,,HIGH_VOLATILITY,PANIC,PANIC|HIGH_VOLATILITY|VOLATILE,65,,0.0,65.0
2026-06-18,SPY,746.739990234375,0.007800647930141791,44.89090261787614,729.6588000488281,688.3594995117187,0.010206447046332548,3.9297754406693457,5.523840211851487,-1.5940647711821416,,,NORMAL,,,BULL,NONE,NONE|BULL|NORMAL,8,,0.0,8.0
