Rank,Pattern,Trades,WinRate1D,AvgReturn1D,WinRate3D,AvgReturn3D,WinRate5D,AvgReturn5D,WinRate10D,AvgReturn10D
59,OVERSOLD|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,12,66.67,0.884,75.0,0.503,75.0,1.655,75.0,2.563
60,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BEAR|VIX_HIGH,5,40.0,-0.993,60.0,0.97,60.0,1.654,40.0,1.216
61,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_ELEVATED,35,68.57,0.516,48.57,0.674,40.0,1.648,28.57,-2.093
62,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_ELEVATED,130,51.54,0.583,48.46,0.765,55.38,1.617,58.46,2.338
63,PANIC|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,27,62.96,0.144,74.07,1.79,59.26,1.609,62.96,2.379
64,OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_LOW,19,52.63,-0.428,42.11,-1.938,36.84,1.577,15.79,-2.35
65,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BEAR|VIX_ELEVATED,35,51.43,-0.297,57.14,0.483,68.57,1.575,65.71,3.161
66,PANIC|BULL|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,66,63.64,0.026,62.12,0.742,60.61,1.563,63.64,2.429
67,MOMENTUM|HIGH_VOLATILITY|VOLATILE|SIDEWAYS|VIX_LOW,198,52.02,0.927,50.51,2.098,48.48,1.559,53.03,4.041
68,PANIC|SIDEWAYS|VOLATILE|SIDEWAYS|VIX_EXTREME,531,57.82,0.497,60.64,1.088,64.22,1.547,65.54,1.44
69,MOMENTUM|BEAR|NORMAL|HIGH_VOL|VIX_HIGH,30,70.0,0.938,70.0,1.388,63.33,1.54,53.33,0.213
70,PANIC|INSUFFICIENT_HISTORY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,46,60.87,0.24,63.04,0.855,54.35,1.484,50.0,3.331
71,MOMENTUM|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_HIGH,26,42.31,0.266,53.85,1.538,53.85,1.475,53.85,4.447
72,PANIC|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,145,57.93,0.295,53.79,0.722,59.31,1.466,68.97,3.318
73,OVERSOLD|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,9,55.56,0.165,55.56,1.184,55.56,1.456,55.56,0.268
74,MOMENTUM|BEAR|VOLATILE|BEAR|VIX_EXTREME,205,53.66,0.284,68.78,1.276,67.32,1.444,67.32,2.049
75,MOMENTUM|HIGH_VOLATILITY|VOLATILE|BULL|VIX_LOW,2085,50.17,0.437,49.02,0.901,49.3,1.43,50.98,2.616
76,MOMENTUM|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,128,48.44,0.067,63.28,0.777,61.72,1.422,71.09,2.132
77,PANIC|SIDEWAYS|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,64,50.0,-0.069,50.0,-0.595,64.06,1.412,48.44,0.703
78,OVERSOLD|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,38,36.84,-0.988,55.26,0.72,60.53,1.405,55.26,1.935
79,MOMENTUM|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_HIGH,47,34.04,-0.641,53.19,-0.502,68.09,1.377,70.21,2.583
80,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,166,53.61,0.642,57.23,1.502,53.01,1.369,50.6,1.025
81,PANIC|BULL|VOLATILE|HIGH_VOL|VIX_HIGH,17,64.71,0.213,64.71,1.183,64.71,1.345,70.59,1.599
82,PANIC|BULL|VOLATILE|HIGH_VOL|VIX_EXTREME,48,72.92,0.581,62.5,0.922,66.67,1.31,64.58,-0.038
83,OVERSOLD|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,56,42.86,-0.319,50.0,-0.304,57.14,1.286,67.86,3.779
84,MOMENTUM|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_LOW,48,43.75,-0.274,37.5,-0.277,35.42,1.28,50.0,3.293
85,MOMENTUM|BEAR|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,84,41.67,0.251,48.81,1.173,52.38,1.276,46.43,0.037
86,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_EXTREME,60,53.33,0.648,61.67,0.823,48.33,1.225,61.67,2.958
87,PANIC|BEAR|NORMAL|BEAR|VIX_EXTREME,110,48.18,-0.034,51.82,0.34,69.09,1.224,72.73,1.869
88,OVERSOLD|BEAR|NORMAL|SIDEWAYS|VIX_HIGH,225,52.89,0.425,63.56,1.09,60.0,1.207,63.11,1.805
89,PANIC|SIDEWAYS|VOLATILE|HIGH_VOL|VIX_HIGH,68,66.18,0.607,57.35,0.511,60.29,1.2,58.82,1.886
90,OVERBOUGHT|INSUFFICIENT_HISTORY|NORMAL|SIDEWAYS|VIX_ELEVATED,6,50.0,0.244,50.0,-0.469,50.0,1.188,33.33,-0.898
91,OVERSOLD|INSUFFICIENT_HISTORY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_EXTREME,47,40.43,-0.106,65.96,1.018,65.96,1.177,48.94,0.655
92,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,216,50.93,0.227,53.7,0.574,52.78,1.149,57.41,2.472
93,OVERBOUGHT|BULL|NORMAL|HIGH_VOL|VIX_HIGH,19,57.89,0.206,73.68,0.753,63.16,1.142,73.68,1.067
94,OVERBOUGHT|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,30,53.33,0.171,46.67,-0.327,60.0,1.141,66.67,1.258
95,MOMENTUM|BULL|VOLATILE|BULL|VIX_HIGH,1078,52.78,0.392,55.01,0.714,58.35,1.115,57.33,2.085
96,MOMENTUM|BULL|VOLATILE|SIDEWAYS|VIX_EXTREME,181,51.93,0.199,55.25,0.657,55.8,1.091,56.91,1.436
97,PANIC|BULL|VOLATILE|BULL|VIX_HIGH,683,53.44,0.249,56.95,0.659,57.69,1.088,62.08,2.457
98,PANIC|BULL|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,89,50.56,-0.105,57.3,0.683,58.43,1.087,55.06,2.091
99,PANIC|HIGH_VOLATILITY|VOLATILE|BULL|VIX_HIGH,736,51.09,0.137,53.4,0.499,51.22,1.062,52.17,1.611
100,OVERBOUGHT|SIDEWAYS|NORMAL|BEAR|VIX_ELEVATED,12,50.0,0.544,58.33,1.189,50.0,1.059,83.33,1.899
101,PANIC|SIDEWAYS|VOLATILE|BULL|VIX_HIGH,717,53.28,0.264,57.6,0.818,58.3,1.05,62.2,2.019
102,OVERSOLD|SIDEWAYS|NORMAL|BEAR|VIX_HIGH,47,57.45,0.164,74.47,0.703,63.83,1.028,48.94,-0.59
103,PANIC|BULL|VOLATILE|SIDEWAYS|VIX_LOW,119,54.62,0.624,55.46,1.341,52.94,1.015,53.78,0.805
104,MOMENTUM|BULL|NORMAL|BEAR|VIX_EXTREME,28,60.71,0.456,60.71,0.402,53.57,1.007,57.14,-0.238
105,MOMENTUM|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_ELEVATED,148,50.0,0.233,54.05,0.661,56.76,1.004,54.05,1.561
106,MOMENTUM|BULL|NORMAL|HIGH_VOL|VIX_HIGH,23,78.26,0.232,52.17,0.228,52.17,0.988,60.87,1.731
107,PANIC|HIGH_VOLATILITY|NORMAL|SIDEWAYS|VIX_HIGH,196,52.55,0.511,55.61,1.383,55.61,0.976,58.67,2.224
108,PANIC|INSUFFICIENT_HISTORY|NORMAL|BULL|VIX_HIGH,12,58.33,-0.016,50.0,2.371,66.67,0.969,50.0,1.966
109,PANIC|SIDEWAYS|NORMAL|SIDEWAYS|VIX_HIGH,786,54.33,0.067,57.38,0.647,63.1,0.942,60.69,1.322
110,MOMENTUM|BULL|NORMAL|BEAR|VIX_ELEVATED,10,70.0,0.31,90.0,0.998,50.0,0.922,60.0,1.929
111,MOMENTUM|BULL|NORMAL|HIGH_VOL|VIX_EXTREME,28,64.29,0.316,60.71,0.668,57.14,0.915,60.71,1.146
112,PANIC|HIGH_VOLATILITY|VOLATILE|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,378,56.08,0.546,55.03,0.911,58.99,0.908,58.99,1.959
113,PANIC|HIGH_VOLATILITY|NORMAL|BULL|VIX_LOW,384,48.18,0.4,45.31,0.566,53.39,0.889,54.95,2.526
114,PANIC|SIDEWAYS|VOLATILE|BEAR|VIX_EXTREME,241,49.79,0.063,57.68,0.534,62.66,0.887,60.58,1.25
115,OVERSOLD|SIDEWAYS|NORMAL|BULL|VIX_HIGH,127,52.76,0.27,59.06,0.574,65.35,0.882,54.33,0.237
116,PANIC|HIGH_VOLATILITY|NORMAL|HIGH_VOL|VIX_EXTREME,101,55.45,-0.057,52.48,0.788,57.43,0.874,61.39,1.694
117,MOMENTUM|BULL|VOLATILE|HIGH_VOL|VIX_HIGH,50,54.0,0.312,50.0,0.113,56.0,0.863,72.0,2.507
118,MOMENTUM|HIGH_VOLATILITY|NORMAL|SPY_INSUFFICIENT_HISTORY|VIX_UNAVAILABLE,87,43.68,0.237,50.57,1.027,47.13,0.858,55.17,1.387
119,MOMENTUM|BEAR|NORMAL|SIDEWAYS|VIX_LOW,50,52.0,0.343,56.0,1.022,56.0,0.856,46.0,0.304
120,PANIC|BEAR|VOLATILE|BULL|VIX_HIGH,291,51.55,0.104,55.33,0.556,57.04,0.854,48.8,0.679
121,PANIC|INSUFFICIENT_HISTORY|VOLATILE|SIDEWAYS|VIX_HIGH,39,51.28,0.119,48.72,-0.015,64.1,0.849,56.41,2.718
122,OVERBOUGHT|BULL|NORMAL|BULL|VIX_HIGH,432,54.4,0.105,58.8,0.518,56.94,0.845,58.1,1.723
123,MOMENTUM|BULL|NORMAL|BULL|VIX_HIGH,445,52.13,0.157,54.61,0.359,57.53,0.843,61.35,1.563
